Pixel	Blue	Green	Red	***	BGR	BGR_Norm	***	Coord	Angstrom	BW	BW_Norm
0	56.48	15.12	231.63	***	303.23	1.52	***	-109	-328.09	305	1.52
1	57.65	23.71	233.97	***	315.33	1.58	***	-108	-325.08	315	1.57
2	57.05	22.99	231.71	***	311.75	1.56	***	-107	-322.07	302	1.51
3	56.75	19.43	229.36	***	305.54	1.53	***	-106	-319.06	296	1.48
4	56.05	17.27	227.9	***	301.22	1.51	***	-105	-316.05	289	1.45
5	55.83	16.54	227.44	***	299.81	1.5	***	-104	-313.04	289	1.45
6	56.9	17.98	232.36	***	307.24	1.54	***	-103	-310.03	301	1.5
7	56.3	13.65	231.2	***	301.15	1.51	***	-102	-307.02	300	1.5
8	57.43	22.28	235.01	***	314.72	1.57	***	-101	-304.01	312	1.56
9	58.14	26.6	232.66	***	317.4	1.59	***	-100	-301.0	313	1.56
10	57.92	22.27	233.69	***	313.88	1.57	***	-99	-297.99	309	1.54
11	57.89	18.68	224.46	***	301.03	1.51	***	-98	-294.98	282	1.41
12	57.76	14.37	224.61	***	296.74	1.48	***	-97	-291.97	276	1.38
13	59.39	28.04	227.86	***	315.29	1.58	***	-96	-288.96	295	1.48
14	59.97	25.12	235.55	***	320.64	1.6	***	-95	-285.95	312	1.56
15	59.18	20.87	233.88	***	313.93	1.57	***	-94	-282.94	302	1.51
16	59.91	20.85	233.53	***	314.29	1.57	***	-93	-279.93	314	1.57
17	60.27	19.43	240.38	***	320.08	1.6	***	-92	-276.92	328	1.64
18	59.34	15.11	241.27	***	315.72	1.58	***	-91	-273.91	328	1.64
19	57.53	10.08	234.6	***	302.21	1.51	***	-90	-270.9	303	1.51
20	57.89	19.4	236.94	***	314.23	1.57	***	-89	-267.89	319	1.59
21	58.1	15.09	238.65	***	311.84	1.56	***	-88	-264.88	319	1.59
22	58.04	12.23	240.6	***	310.87	1.55	***	-87	-261.87	322	1.61
23	57.96	15.83	235.7	***	309.49	1.55	***	-86	-258.86	313	1.56
24	59.33	17.95	238.07	***	315.35	1.58	***	-85	-255.85	324	1.62
25	59.68	25.87	236.17	***	321.72	1.61	***	-84	-252.84	325	1.63
26	59.12	12.93	239.57	***	311.62	1.56	***	-83	-249.83	322	1.61
27	58.77	17.96	239.13	***	315.86	1.58	***	-82	-246.82	325	1.63
28	58.69	16.54	239.45	***	314.68	1.57	***	-81	-243.81	333	1.67
29	58.98	15.84	238.1	***	312.92	1.56	***	-80	-240.8	325	1.63
30	58.63	13.66	236.1	***	308.39	1.54	***	-79	-237.79	315	1.57
31	59.06	9.35	241.04	***	309.45	1.55	***	-78	-234.78	325	1.63
32	58.39	14.4	239.8	***	312.59	1.56	***	-77	-231.77	327	1.64
33	59.98	25.12	247.9	***	333.0	1.67	***	-76	-228.76	356	1.78
34	60.18	27.3	249.84	***	337.32	1.69	***	-75	-225.75	362	1.81
35	59.49	22.99	236.96	***	319.44	1.6	***	-74	-222.74	327	1.64
36	57.42	15.11	235.03	***	307.56	1.54	***	-73	-219.73	311	1.55
37	57.44	15.12	232.91	***	305.47	1.53	***	-72	-216.72	308	1.54
38	56.41	21.58	231.6	***	309.59	1.55	***	-71	-213.71	312	1.56
39	56.1	23.72	237.17	***	316.99	1.58	***	-70	-210.7	324	1.62
40	56.96	15.83	241.11	***	313.9	1.57	***	-69	-207.69	333	1.67
41	56.84	10.8	240.19	***	307.83	1.54	***	-68	-204.68	321	1.6
42	57.65	12.24	242.1	***	311.99	1.56	***	-67	-201.67	326	1.63
43	57.49	13.68	246.51	***	317.68	1.59	***	-66	-198.66	350	1.75
44	57.51	17.26	241.34	***	316.11	1.58	***	-65	-195.65	340	1.7
45	58.31	14.38	245.99	***	318.68	1.59	***	-64	-192.64	343	1.72
46	59.27	18.69	244.95	***	322.91	1.61	***	-63	-189.63	344	1.72
47	59.4	25.18	246.06	***	330.64	1.65	***	-62	-186.62	359	1.79
48	58.47	12.96	244.58	***	316.01	1.58	***	-61	-183.61	344	1.72
49	59.46	20.86	246.93	***	327.25	1.64	***	-60	-180.6	357	1.78
50	59.27	17.25	247.75	***	324.27	1.62	***	-59	-177.59	353	1.76
51	58.76	17.26	243.04	***	319.06	1.6	***	-58	-174.58	344	1.72
52	59.17	21.6	248.0	***	328.77	1.64	***	-57	-171.57	360	1.8
53	59.94	26.6	254.46	***	341.0	1.71	***	-56	-168.56	387	1.94
54	59.1	20.14	247.38	***	326.62	1.63	***	-55	-165.55	361	1.8
55	58.91	17.98	243.31	***	320.2	1.6	***	-54	-162.54	345	1.73
56	57.63	20.87	241.38	***	319.88	1.6	***	-53	-159.53	345	1.73
57	55.7	22.3	245.0	***	323.0	1.61	***	-52	-156.52	354	1.77
58	55.98	29.46	254.63	***	340.07	1.7	***	-51	-153.51	385	1.93
59	55.48	33.08	250.4	***	338.96	1.69	***	-50	-150.5	382	1.91
60	54.54	20.87	250.02	***	325.43	1.63	***	-49	-147.49	374	1.87
61	53.89	22.29	243.75	***	319.93	1.6	***	-48	-144.48	353	1.76
62	53.83	28.77	245.48	***	328.08	1.64	***	-47	-141.47	367	1.83
63	54.2	32.37	247.52	***	334.09	1.67	***	-46	-138.46	369	1.84
64	54.27	29.48	249.69	***	333.44	1.67	***	-45	-135.45	370	1.85
65	54.04	38.07	247.04	***	339.15	1.7	***	-44	-132.44	369	1.84
66	53.34	29.46	243.05	***	325.85	1.63	***	-43	-129.43	357	1.78
67	52.27	35.94	243.85	***	332.06	1.66	***	-42	-126.42	363	1.81
68	51.94	30.21	246.24	***	328.39	1.64	***	-41	-123.41	360	1.8
69	50.9	36.64	248.85	***	336.39	1.68	***	-40	-120.4	384	1.92
70	45.71	44.55	247.94	***	338.2	1.69	***	-39	-117.39	388	1.94
71	44.33	47.47	254.01	***	345.81	1.73	***	-38	-114.38	408	2.04
72	41.94	47.43	255.98	***	345.35	1.73	***	-37	-111.37	418	2.09
