Pixel	Blue	Green	Red	***	BGR	BGR_Norm	***	Coord	Angstrom	BW	BW_Norm
0	58.69	12.95	231.26	***	302.9	1.51	***	-106	-321.18	288	1.44
1	59.12	18.7	233.05	***	310.87	1.55	***	-105	-318.15	304	1.52
2	59.12	15.11	236.07	***	310.3	1.55	***	-104	-315.12	310	1.55
3	58.7	12.96	234.51	***	306.17	1.53	***	-103	-312.09	299	1.5
4	59.26	15.83	236.48	***	311.57	1.56	***	-102	-309.06	310	1.55
5	59.7	24.44	236.4	***	320.54	1.6	***	-101	-306.03	314	1.57
6	58.35	8.64	233.27	***	300.26	1.5	***	-100	-303.0	299	1.5
7	58.7	12.96	237.15	***	308.81	1.54	***	-99	-299.97	316	1.58
8	59.96	22.99	242.26	***	325.21	1.63	***	-98	-296.94	331	1.66
9	60.38	28.72	240.99	***	330.09	1.65	***	-97	-293.91	334	1.67
10	59.39	24.44	233.53	***	317.36	1.59	***	-96	-290.88	312	1.56
11	58.49	11.51	231.95	***	301.95	1.51	***	-95	-287.85	294	1.47
12	58.77	17.26	233.17	***	309.2	1.55	***	-94	-284.82	297	1.49
13	58.49	17.27	231.96	***	307.72	1.54	***	-93	-281.79	300	1.5
14	58.77	16.55	233.04	***	308.36	1.54	***	-92	-278.76	302	1.51
15	58.49	18.0	231.57	***	308.06	1.54	***	-91	-275.73	303	1.51
16	59.17	23.03	234.56	***	316.76	1.58	***	-90	-272.7	307	1.53
17	58.61	17.26	236.3	***	312.17	1.56	***	-89	-269.67	317	1.58
18	58.19	13.67	231.32	***	303.18	1.52	***	-88	-266.64	297	1.49
19	58.7	12.96	233.03	***	304.69	1.52	***	-87	-263.61	299	1.5
20	58.55	12.95	233.94	***	305.44	1.53	***	-86	-260.58	307	1.53
21	58.97	11.51	236.91	***	307.39	1.54	***	-85	-257.55	308	1.54
22	59.03	22.28	231.13	***	312.44	1.56	***	-84	-254.52	304	1.52
23	59.4	23.74	237.4	***	320.54	1.6	***	-83	-251.49	319	1.59
24	57.77	6.47	230.91	***	295.15	1.48	***	-82	-248.46	289	1.45
25	58.2	7.2	232.79	***	298.19	1.49	***	-81	-245.43	290	1.45
26	58.28	8.64	227.85	***	294.77	1.47	***	-80	-242.4	279	1.4
27	58.21	10.08	227.48	***	295.77	1.48	***	-79	-239.37	281	1.41
28	58.97	15.81	235.94	***	310.72	1.55	***	-78	-236.34	313	1.56
29	59.06	17.94	234.51	***	311.51	1.56	***	-77	-233.31	304	1.52
30	59.77	27.28	234.15	***	321.2	1.61	***	-76	-230.28	312	1.56
31	59.33	23.0	230.25	***	312.58	1.56	***	-75	-227.25	296	1.48
32	59.62	22.25	233.6	***	315.47	1.58	***	-74	-224.22	301	1.5
33	59.13	17.96	231.89	***	308.98	1.54	***	-73	-221.19	294	1.47
34	59.28	22.25	231.0	***	312.53	1.56	***	-72	-218.16	295	1.48
35	58.11	12.23	233.82	***	304.16	1.52	***	-71	-215.13	295	1.48
36	58.25	14.38	232.18	***	304.81	1.52	***	-70	-212.1	299	1.5
37	58.76	15.09	238.83	***	312.68	1.56	***	-69	-209.07	317	1.58
38	59.33	20.85	235.85	***	316.03	1.58	***	-68	-206.04	318	1.59
39	59.47	19.39	236.09	***	314.95	1.57	***	-67	-203.01	317	1.58
40	59.47	17.99	238.84	***	316.3	1.58	***	-66	-199.98	320	1.6
41	58.77	16.55	232.79	***	308.11	1.54	***	-65	-196.95	300	1.5
42	58.77	13.68	233.46	***	305.91	1.53	***	-64	-193.92	303	1.51
43	59.26	20.15	233.3	***	312.71	1.56	***	-63	-190.89	307	1.53
44	59.87	23.03	235.79	***	318.69	1.59	***	-62	-187.86	312	1.56
45	59.68	20.85	239.69	***	320.22	1.6	***	-61	-184.83	326	1.63
46	59.26	18.68	237.08	***	315.02	1.58	***	-60	-181.8	314	1.57
47	59.75	23.01	237.99	***	320.75	1.6	***	-59	-178.77	320	1.6
48	59.6	33.03	234.11	***	326.74	1.63	***	-58	-175.74	323	1.61
49	60.29	32.3	239.24	***	331.83	1.66	***	-57	-172.71	335	1.68
50	59.25	25.88	235.74	***	320.87	1.6	***	-56	-169.68	325	1.63
51	59.82	24.44	237.34	***	321.6	1.61	***	-55	-166.65	318	1.59
52	58.93	17.23	234.47	***	310.63	1.55	***	-54	-163.62	304	1.52
53	58.76	15.82	231.97	***	306.55	1.53	***	-53	-160.59	302	1.51
54	58.34	15.83	232.2	***	306.37	1.53	***	-52	-157.56	302	1.51
55	58.98	19.42	232.13	***	310.53	1.55	***	-51	-154.53	298	1.49
56	58.83	18.7	233.69	***	311.22	1.56	***	-50	-151.5	305	1.52
57	60.12	28.03	234.89	***	323.04	1.62	***	-49	-148.47	314	1.57
58	56.73	35.19	237.56	***	329.48	1.65	***	-48	-145.44	334	1.67
59	56.24	33.77	236.87	***	326.88	1.63	***	-47	-142.41	325	1.63
60	51.13	40.22	236.07	***	327.42	1.64	***	-46	-139.38	340	1.7
61	50.88	36.67	242.58	***	330.13	1.65	***	-45	-136.35	360	1.8
62	50.09	38.82	244.69	***	333.6	1.67	***	-44	-133.32	366	1.83
63	52.08	55.99	245.92	***	353.99	1.77	***	-43	-130.29	378	1.89
64	50.25	56.0	243.78	***	350.03	1.75	***	-42	-127.26	377	1.89
65	49.55	45.23	242.11	***	336.89	1.68	***	-41	-124.23	365	1.82
66	49.42	46.68	250.02	***	346.12	1.73	***	-40	-121.2	387	1.94
67	48.78	38.1	249.59	***	336.47	1.68	***	-39	-118.17	375	1.88
68	47.93	40.93	250.48	***	339.34	1.7	***	-38	-115.14	382	1.91
69	47.85	37.36	250.13	***	335.34	1.68	***	-37	-112.11	383	1.92
70	47.35	47.39	247.92	***	342.66	1.71	***	-36	-109.08	386	1.93
71	49.43	57.43	257.15	***	364.01	1.82	***	-35	-106.05	423	2.12
72	44.44	68.23	260.5	***	373.17	1.87	***	-34	-103.02	442	2.21
73	43.63	71.85	256.29	***	371.77	1.86	***	-33	-99.99	439	2.19
74	41.75	76.09	259.65	***	377.49	1.89	***	-32	-96.96	433	2.17
75	40.89	80.37	262.62	***	383.88	1.92	***	-31	-93.93	436	2.18
76	34.26	73.97	259.58	***	367.81	1.84	***	-30	-90.9	390	1.95
77	34.05	53.88	278.16	***	366.09	1.83	***	-29	-87.87	408	2.04
78	34.38	62.48	291.01	***	387.87	1.94	***	-28	-84.84	430	2.15
79	33.41	33.76	314.74	***	381.91	1.91	***	-27	-81.81	434	2.17
80	30.85	33.03	312.33	***	376.21	1.88	***	-26	-78.78	422	2.11
81	33.03	48.83	322.62	***	404.48	2.02	***	-25	-75.75	452	2.26
82	34.19	73.88	333.71	***	441.78	2.21	***	-24	-72.72	474	2.37
83	33.53	81.77	333.1	***	448.4	2.24	***	-23	-69.69	481	2.4
84	27.97	63.17	329.94	***	421.08	2.11	***	-22	-66.66	453	2.27
85	28.65	83.23	346.77	***	458.65	2.29	***	-21	-63.63	511	2.56
86	30.36	99.69	354.92	***	484.97	2.42	***	-20	-60.6	536	2.68
87	29.9	98.32	361.67	***	489.89	2.45	***	-19	-57.57	539	2.69
88	30.88	129.69	376.77	***	537.34	2.69	***	-18	-54.54	567	2.83
89	34.91	252.05	404.8	***	691.76	3.46	***	-17	-51.51	719	3.6
90	31.36	295.63	417.49	***	744.48	3.72	***	-16	-48.48	779	3.9
91	28.79	298.49	419.4	***	746.68	3.73	***	-15	-45.45	796	3.98
92	25.4	457.32	485.7	***	968.42	4.84	***	-14	-42.42	1007	5.04
93	24.5	646.79	535.76	***	1207.05	6.04	***	-13	-39.39	1229	6.14
94	21.67	779.01	608.45	***	1409.13	7.05	***	-12	-36.36	1422	7.11
95	21.18	957.83	718.6	***	1697.61	8.49	***	-11	-33.33	1732	8.66
96	20.96	1161.55	830.06	***	2012.57	10.06	***	-10	-30.3	2048	10.24
97	18.34	1496.28	951.0	***	2465.62	12.33	***	-9	-27.27	2493	12.46
98	18.14	2051.18	1129.91	***	3199.23	16.0	***	-8	-24.24	3203	16.02
99	24.66	2964.6	1414.6	***	4403.86	22.02	***	-7	-21.21	4359	21.8
100	48.92	4393.5	1763.69	***	6206.11	31.03	***	-6	-18.18	6058	30.29
101	126.47	6350.31	2234.18	***	8710.96	43.55	***	-5	-15.15	8449	42.24
102	279.06	8963.67	2838.23	***	12080.96	60.4	***	-4	-12.12	11692	58.46
103	485.4	12207.82	3640.34	***	16333.56	81.67	***	-3	-9.09	15804	79.02
104	777.0	16674.92	4763.57	***	22215.49	111.08	***	-2	-6.06	21511	107.56
105	1117.59	21369.69	6081.03	***	28568.31	142.84	***	-1	-3.03	27752	138.76
106	1262.52	23936.7	6970.65	***	32169.87	160.85	***	0	0.0	31342	156.71
107	1232.39	24316.59	7308.59	***	32857.57	164.29	***	1	3.03	32076	160.38
108	1094.74	23963.19	7306.85	***	32364.78	161.82	***	2	6.06	31565	157.82
109	834.17	21583.54	7222.2	***	29639.91	148.2	***	3	9.09	29078	145.39
110	415.13	15613.64	6736.91	***	22765.68	113.83	***	4	12.12	22840	114.2
111	113.97	8912.17	5674.22	***	14700.36	73.5	***	5	15.15	15369	76.84
112	21.0	3986.61	4400.11	***	8407.72	42.04	***	6	18.18	9387	46.94
113	17.61	1665.84	3494.69	***	5178.14	25.89	***	7	21.21	6208	31.04
114	17.5	726.14	2681.31	***	3424.95	17.12	***	8	24.24	4297	21.48
115	22.32	405.69	2038.27	***	2466.28	12.33	***	9	27.27	3145	15.72
116	21.96	404.31	1528.0	***	1954.27	9.77	***	10	30.3	2421	12.11
117	20.25	422.22	1119.65	***	1562.12	7.81	***	11	33.33	1851	9.26
118	20.76	358.56	837.04	***	1216.36	6.08	***	12	36.36	1395	6.97
119	20.97	430.79	689.39	***	1141.15	5.71	***	13	39.39	1259	6.29
120	22.42	411.49	605.77	***	1039.68	5.2	***	14	42.42	1113	5.57
121	26.28	363.58	517.39	***	907.25	4.54	***	15	45.45	956	4.78
122	31.48	320.7	464.69	***	816.87	4.08	***	16	48.48	871	4.36
123	42.72	288.51	445.59	***	776.82	3.88	***	17	51.51	851	4.25
124	40.44	251.28	434.06	***	725.78	3.63	***	18	54.54	783	3.92
125	38.77	189.09	401.13	***	628.99	3.14	***	19	57.57	679	3.4
